-1.00000000e+00	-1.00000000e+00	-8.34736078e-01
-1.00000000e+00	-9.31034483e-01	-1.08402461e+00
-1.00000000e+00	-8.62068966e-01	-2.22258250e-01
-1.00000000e+00	-7.93103448e-01	5.68746192e-01
-1.00000000e+00	-7.24137931e-01	6.56683916e-01
-1.00000000e+00	-6.55172414e-01	-5.05530447e-01
-1.00000000e+00	-5.86206897e-01	-7.07370415e-01
-1.00000000e+00	-5.17241379e-01	-7.33565226e-01
-1.00000000e+00	-4.48275862e-01	-1.24955278e+00
-1.00000000e+00	-3.79310345e-01	-1.12377428e+00
-1.00000000e+00	-3.10344828e-01	-4.18037252e-01
-1.00000000e+00	-2.41379310e-01	-6.25000420e-01
-1.00000000e+00	-1.72413793e-01	-5.69023150e-01
-1.00000000e+00	-1.03448276e-01	-3.77579950e-01
-1.00000000e+00	-3.44827586e-02	-2.79766938e-01
-1.00000000e+00	3.44827586e-02	-4.18800055e-01
-1.00000000e+00	1.03448276e-01	-3.25144778e-01
-1.00000000e+00	1.72413793e-01	-8.18488179e-01
-1.00000000e+00	2.41379310e-01	-1.01425874e+00
-1.00000000e+00	3.10344828e-01	-1.41437032e-01
-1.00000000e+00	3.79310345e-01	-8.08888986e-01
-1.00000000e+00	4.48275862e-01	-1.29214151e+00
-1.00000000e+00	5.17241379e-01	-4.01293532e-01
-1.00000000e+00	5.86206897e-01	5.56682958e-01
-1.00000000e+00	6.55172414e-01	-3.66163523e-01
-1.00000000e+00	7.24137931e-01	-8.00074022e-01
-1.00000000e+00	7.93103448e-01	1.24329645e-01
-1.00000000e+00	8.62068966e-01	-9.66953557e-02
-1.00000000e+00	9.31034483e-01	-5.55116481e-02
-1.00000000e+00	1.00000000e+00	2.48386039e-01
-9.31034483e-01	-1.00000000e+00	-6.97977141e-01
-9.31034483e-01	-9.31034483e-01	-1.06521605e+00
-9.31034483e-01	-8.62068966e-01	-1.91482075e-01
-9.31034483e-01	-7.93103448e-01	6.51682463e-01
